procedure	provider	city	region	district	price_inr	rating	phone
ECG	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	490	4.2	+91-9823657400
ECG	MediCare Diagnostics	Mumbai	Mumbai	Dadar	650	4.9	+91-9097183000
ECG	Prime Health Hospital	Mumbai	Mumbai	Borivali	470	3.4	+91-8062617331
ECG	WellLife Diagnostics	Mumbai	Mumbai	Dadar	460	3.8	+91-7216837653
ECG	CityCare Hospital	Mumbai	Mumbai	Borivali	460	3.3	+91-9389242087
ECG	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	560	4.2	+91-8996093227
Chest X-Ray	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	450	3.2	+91-7316957052
Chest X-Ray	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	520	4.4	+91-7523165392
Chest X-Ray	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	470	4.6	+91-8978244671
Chest X-Ray	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	670	3.5	+91-9848510851
Chest X-Ray	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	480	3.6	+91-7509438221
Chest X-Ray	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	430	4.2	+91-9823657400
Chest X-Ray	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	600	3.3	+91-8164137460
Chest X-Ray	Prime Health Hospital	Chennai	Chennai	Adyar	550	4.6	+91-8245546434
Chest X-Ray	Apollo Care Center	Chennai	Chennai	T Nagar	430	4.0	+91-9717792397
Chest X-Ray	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	410	4.9	+91-9802740512
Chest X-Ray	Prime Health Hospital	Mumbai	Mumbai	Borivali	520	3.4	+91-8062617331
Chest X-Ray	WellLife Diagnostics	Mumbai	Mumbai	Dadar	560	3.8	+91-7216837653
Chest X-Ray	Sunrise Medical Center	Mumbai	Mumbai	Andheri	710	3.4	+91-7105151347
Chest X-Ray	HealthPlus Labs	Mumbai	Mumbai	Andheri	690	3.3	+91-8243345382
Chest X-Ray	Apollo Care Center	Mumbai	Mumbai	Andheri	700	4.3	+91-9299799593
Ultrasound Abdomen	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	1350	3.5	+91-9848510851
Ultrasound Abdomen	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	1840	4.5	+91-9391170217
Ultrasound Abdomen	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	1560	4.8	+91-8102923396
Ultrasound Abdomen	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	1980	4.6	+91-8978244671
Ultrasound Abdomen	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	1890	4.4	+91-7523165392
Ultrasound Abdomen	Apollo Care Center	Chennai	Chennai	T Nagar	1760	4.0	+91-9717792397
Ultrasound Abdomen	CityCare Hospital	Chennai	Chennai	Adyar	1750	4.1	+91-9308719116
Ultrasound Abdomen	HealthPlus Labs	Chennai	Chennai	T Nagar	1350	3.1	+91-7746747930
Ultrasound Abdomen	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	1720	4.9	+91-9802740512
Ultrasound Abdomen	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	1500	4.2	+91-9823657400
Ultrasound Abdomen	WellLife Diagnostics	Mumbai	Mumbai	Dadar	1950	3.8	+91-7216837653
Ultrasound Abdomen	Sunrise Medical Center	Mumbai	Mumbai	Andheri	1750	3.4	+91-7105151347
Ultrasound Abdomen	HealthPlus Labs	Mumbai	Mumbai	Andheri	1660	3.3	+91-8243345382
Ultrasound Abdomen	Prime Health Hospital	Mumbai	Mumbai	Borivali	1500	3.4	+91-8062617331
Ultrasound Abdomen	MediCare Diagnostics	Mumbai	Mumbai	Dadar	2040	4.9	+91-9097183000
CT Scan Brain	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	3660	4.0	+91-8240320328
CT Scan Brain	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	4380	3.2	+91-7316957052
CT Scan Brain	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	3810	4.5	+91-9391170217
CT Scan Brain	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	4700	4.4	+91-7523165392
CT Scan Brain	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	3290	3.5	+91-9848510851
CT Scan Brain	Apollo Care Center	Chennai	Chennai	T Nagar	3580	4.0	+91-9717792397
CT Scan Brain	CityCare Hospital	Chennai	Chennai	Adyar	4000	4.1	+91-9308719116
CT Scan Brain	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	3830	4.9	+91-9802740512
CT Scan Brain	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	4200	4.2	+91-9823657400
CT Scan Brain	Prime Health Hospital	Chennai	Chennai	Adyar	3900	4.6	+91-8245546434
CT Scan Brain	Apollo Care Center	Mumbai	Mumbai	Andheri	4490	4.3	+91-9299799593
CT Scan Brain	CityCare Hospital	Mumbai	Mumbai	Borivali	4560	3.3	+91-9389242087
CT Scan Brain	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	3610	4.2	+91-8996093227
CT Scan Brain	MediCare Diagnostics	Mumbai	Mumbai	Dadar	4980	4.9	+91-9097183000
CT Scan Brain	Sunrise Medical Center	Mumbai	Mumbai	Andheri	4290	3.4	+91-7105151347
CT Scan Chest	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	4580	4.0	+91-8240320328
CT Scan Chest	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	4880	3.5	+91-9848510851
CT Scan Chest	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	5200	4.4	+91-7523165392
CT Scan Chest	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	5350	3.2	+91-7316957052
CT Scan Chest	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	4960	3.6	+91-7509438221
CT Scan Chest	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	5120	4.2	+91-9823657400
CT Scan Chest	Prime Health Hospital	Chennai	Chennai	Adyar	5440	4.6	+91-8245546434
CT Scan Chest	HealthPlus Labs	Chennai	Chennai	T Nagar	5010	3.1	+91-7746747930
CT Scan Chest	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	4870	3.3	+91-8164137460
CT Scan Chest	Apollo Care Center	Chennai	Chennai	T Nagar	4150	4.0	+91-9717792397
CT Scan Chest	Prime Health Hospital	Mumbai	Mumbai	Borivali	6200	3.4	+91-8062617331
CT Scan Chest	MediCare Diagnostics	Mumbai	Mumbai	Dadar	4690	4.9	+91-9097183000
CT Scan Chest	HealthPlus Labs	Mumbai	Mumbai	Andheri	4460	3.3	+91-8243345382
CT Scan Chest	CityCare Hospital	Mumbai	Mumbai	Borivali	6600	3.3	+91-9389242087
CT Scan Chest	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	5750	4.2	+91-8996093227
MRI Brain	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	6920	4.8	+91-8102923396
MRI Brain	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	6650	4.5	+91-9391170217
MRI Brain	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	6060	3.5	+91-9848510851
MRI Brain	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	6290	4.4	+91-7523165392
MRI Brain	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	7210	4.0	+91-8240320328
MRI Brain	HealthPlus Labs	Chennai	Chennai	T Nagar	6620	3.1	+91-7746747930
MRI Brain	Apollo Care Center	Chennai	Chennai	T Nagar	6490	4.0	+91-9717792397
MRI Brain	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	5840	4.2	+91-9823657400
MRI Brain	Sunrise Medical Center	Chennai	Chennai	T Nagar	6090	3.9	+91-9733257819
MRI Brain	CityCare Hospital	Chennai	Chennai	Adyar	5590	4.1	+91-9308719116
MRI Brain	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	6050	4.2	+91-8996093227
MRI Brain	HealthPlus Labs	Mumbai	Mumbai	Andheri	6010	3.3	+91-8243345382
MRI Brain	Prime Health Hospital	Mumbai	Mumbai	Borivali	7100	3.4	+91-8062617331
MRI Brain	Apollo Care Center	Mumbai	Mumbai	Andheri	7460	4.3	+91-9299799593
MRI Brain	WellLife Diagnostics	Mumbai	Mumbai	Dadar	6780	3.8	+91-7216837653
MRI Spine	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	7010	4.5	+91-9391170217
MRI Spine	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	6760	4.6	+91-8978244671
MRI Spine	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	7160	4.8	+91-8102923396
MRI Spine	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	5940	4.4	+91-7523165392
MRI Spine	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	8270	3.2	+91-7316957052
MRI Spine	Sunrise Medical Center	Chennai	Chennai	T Nagar	6530	3.9	+91-9733257819
MRI Spine	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	7810	4.2	+91-9823657400
MRI Spine	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	6040	3.3	+91-8164137460
MRI Spine	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	6290	4.9	+91-9802740512
MRI Spine	Apollo Care Center	Chennai	Chennai	T Nagar	7670	4.0	+91-9717792397
MRI Spine	Sunrise Medical Center	Mumbai	Mumbai	Andheri	7900	3.4	+91-7105151347
MRI Spine	WellLife Diagnostics	Mumbai	Mumbai	Dadar	7190	3.8	+91-7216837653
MRI Spine	Prime Health Hospital	Mumbai	Mumbai	Borivali	7890	3.4	+91-8062617331
MRI Spine	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	7570	4.2	+91-8996093227
MRI Spine	HealthPlus Labs	Mumbai	Mumbai	Andheri	8500	3.3	+91-8243345382
Vitamin D Test	HealthPlus Labs	Bengaluru	Bengaluru	Whitefield	870	4.8	+91-8102923396
Vitamin D Test	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	910	4.6	+91-8978244671
Vitamin D Test	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	930	3.5	+91-9848510851
Vitamin D Test	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	990	4.4	+91-7523165392
Vitamin D Test	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	940	4.5	+91-9391170217
Vitamin D Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	900	3.9	+91-9733257819
Vitamin D Test	CityCare Hospital	Chennai	Chennai	Adyar	1010	4.1	+91-9308719116
Vitamin D Test	Apollo Care Center	Chennai	Chennai	T Nagar	740	4.0	+91-9717792397
Vitamin D Test	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	1080	4.2	+91-9823657400
Vitamin D Test	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	810	4.9	+91-9802740512
Vitamin D Test	HealthPlus Labs	Mumbai	Mumbai	Andheri	1300	3.3	+91-8243345382
Vitamin D Test	Sunrise Medical Center	Mumbai	Mumbai	Andheri	960	3.4	+91-7105151347
Vitamin D Test	Prime Health Hospital	Mumbai	Mumbai	Borivali	880	3.4	+91-8062617331
Vitamin D Test	MediCare Diagnostics	Mumbai	Mumbai	Dadar	940	4.9	+91-9097183000
Vitamin D Test	WellLife Diagnostics	Mumbai	Mumbai	Dadar	930	3.8	+91-7216837653
HbA1c Test	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	590	3.6	+91-7509438221
HbA1c Test	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	520	4.4	+91-7523165392
HbA1c Test	MediCare Diagnostics	Bengaluru	Bengaluru	Koramangala	590	3.2	+91-7316957052
HbA1c Test	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	480	4.0	+91-8240320328
HbA1c Test	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	600	4.6	+91-8978244671
HbA1c Test	Apollo Care Center	Chennai	Chennai	T Nagar	490	4.0	+91-9717792397
HbA1c Test	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	420	4.9	+91-9802740512
HbA1c Test	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	490	3.3	+91-8164137460
HbA1c Test	HealthPlus Labs	Chennai	Chennai	T Nagar	510	3.1	+91-7746747930
HbA1c Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	510	3.9	+91-9733257819
HbA1c Test	MediCare Diagnostics	Mumbai	Mumbai	Dadar	450	4.9	+91-9097183000
HbA1c Test	CityCare Hospital	Mumbai	Mumbai	Borivali	580	3.3	+91-9389242087
HbA1c Test	WellLife Diagnostics	Mumbai	Mumbai	Dadar	440	3.8	+91-7216837653
HbA1c Test	Apollo Care Center	Mumbai	Mumbai	Andheri	530	4.3	+91-9299799593
HbA1c Test	Sunrise Medical Center	Mumbai	Mumbai	Andheri	550	3.4	+91-7105151347
Dengue Test	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	620	4.4	+91-7523165392
Dengue Test	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	600	3.5	+91-9848510851
Dengue Test	Sunrise Medical Center	Bengaluru	Bengaluru	Whitefield	790	4.5	+91-9391170217
Dengue Test	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	610	4.0	+91-8240320328
Dengue Test	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	660	3.6	+91-7509438221
Dengue Test	CarePoint Diagnostics	Chennai	Chennai	Anna Nagar	490	4.2	+91-9823657400
Dengue Test	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	700	3.3	+91-8164137460
Dengue Test	Sunrise Medical Center	Chennai	Chennai	T Nagar	530	3.9	+91-9733257819
Dengue Test	Apollo Care Center	Chennai	Chennai	T Nagar	540	4.0	+91-9717792397
Dengue Test	CityCare Hospital	Chennai	Chennai	Adyar	680	4.1	+91-9308719116
Dengue Test	Prime Health Hospital	Mumbai	Mumbai	Borivali	740	3.4	+91-8062617331
Dengue Test	CityCare Hospital	Mumbai	Mumbai	Borivali	640	3.3	+91-9389242087
Dengue Test	WellLife Diagnostics	Mumbai	Mumbai	Dadar	650	3.8	+91-7216837653
Dengue Test	Sunrise Medical Center	Mumbai	Mumbai	Andheri	700	3.4	+91-7105151347
Dengue Test	MediCare Diagnostics	Mumbai	Mumbai	Dadar	750	4.9	+91-9097183000
COVID-19 RT-PCR	Prime Health Hospital	Bengaluru	Bengaluru	Rajajinagar	870	4.6	+91-8978244671
COVID-19 RT-PCR	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	990	3.5	+91-9848510851
COVID-19 RT-PCR	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	830	4.0	+91-8240320328
COVID-19 RT-PCR	CarePoint Diagnostics	Bengaluru	Bengaluru	Koramangala	970	4.4	+91-7523165392
COVID-19 RT-PCR	CityCare Hospital	Bengaluru	Bengaluru	Rajajinagar	810	3.6	+91-7509438221
COVID-19 RT-PCR	WellLife Diagnostics	Chennai	Chennai	Anna Nagar	680	3.3	+91-8164137460
COVID-19 RT-PCR	HealthPlus Labs	Chennai	Chennai	T Nagar	820	3.1	+91-7746747930
COVID-19 RT-PCR	MediCare Diagnostics	Chennai	Chennai	Anna Nagar	900	4.9	+91-9802740512
COVID-19 RT-PCR	Sunrise Medical Center	Chennai	Chennai	T Nagar	710	3.9	+91-9733257819
COVID-19 RT-PCR	CityCare Hospital	Chennai	Chennai	Adyar	720	4.1	+91-9308719116
COVID-19 RT-PCR	CarePoint Diagnostics	Mumbai	Mumbai	Dadar	1170	4.2	+91-8996093227
COVID-19 RT-PCR	CityCare Hospital	Mumbai	Mumbai	Borivali	1110	3.3	+91-9389242087
COVID-19 RT-PCR	Prime Health Hospital	Mumbai	Mumbai	Borivali	890	3.4	+91-8062617331
COVID-19 RT-PCR	WellLife Diagnostics	Mumbai	Mumbai	Dadar	920	3.8	+91-7216837653
COVID-19 RT-PCR	Sunrise Medical Center	Mumbai	Mumbai	Andheri	900	3.4	+91-7105151347
Mammography	WellLife Diagnostics	Bengaluru	Bengaluru	Koramangala	1750	4.0	+91-8240320328
Mammography	Apollo Care Center	Bengaluru	Bengaluru	Whitefield	1640	3.5	+91-9848510851
